,total_passes,successful_passes,pass_completion_pct,passes_into_final_third,progressive_carries,total_pressured_receipts,successful_pressured_receipts,pressure_receipt_pct,total_pressures,final_third_pressures,counterpressures,high_ball_recoveries,avg_defensive_distance,successful_long_passes,total_pass_distance,total_forward_distance,pass_directness_ratio,explosive_carries,total_shots,total_xg,avg_shot_quality,touches_in_box,aerial_duels_won,avg_receipt_distance_from_goal,minutes_played,total_passes_per90,successful_passes_per90,passes_into_final_third_per90,progressive_carries_per90,total_pressured_receipts_per90,successful_pressured_receipts_per90,total_pressures_per90,final_third_pressures_per90,counterpressures_per90,high_ball_recoveries_per90,successful_long_passes_per90,total_pass_distance_per90,total_forward_distance_per90,explosive_carries_per90,total_shots_per90,total_xg_per90,touches_in_box_per90,aerial_duels_won_per90,team_name,primary_position,competition,season
Abdelhamid El Kaoutari,271.0,223.0,0.8228782287822878,19.0,17.0,5.0,5.0,1.0,112.4327505599194,0.7162110504474889,9.655086062147072,11.02653257243708,27.396666666666665,27.0,5438.3200589009175,3098.4,0.5697347648615932,17.0,1.0,0.19812727,0.19812727,8.0,9.0,77.45426584936993,656,37.17987804878049,30.594512195121954,2.606707317073171,2.3323170731707314,0.6859756097560975,0.6859756097560975,15.425224924379185,0.09826066240895426,1.3246307097457874,1.5127864809745994,3.704268292682927,746.1109836906746,425.0853658536586,2.3323170731707314,0.13719512195121952,0.027182094969512197,1.0975609756097562,1.2347560975609757,Palermo,Left Center Back,Serie A,2015/2016
Abdoulay Konko,1065.0,817.0,0.7671361502347418,84.0,106.0,41.0,38.0,0.926829268292683,404.32565430021856,54.48307297258288,72.3733525573096,42.440300864319475,38.99407894736842,58.0,19082.00020823225,10429.7,0.5465726803367541,108.0,13.0,0.4898335138,0.03767950106153846,30.0,25.0,64.71788633183075,1592,60.20728643216081,46.18718592964824,4.748743718592965,5.992462311557789,2.3178391959798996,2.148241206030151,22.857606084811348,3.080073220811846,4.0914583732147385,2.399263239817056,3.278894472361809,1078.756293178959,589.6187185929648,6.105527638190955,0.7349246231155779,0.027691593116834168,1.6959798994974873,1.4133165829145726,Lazio,Right Back,Serie A,2015/2016
Achraf Lazaar,1357.0,911.0,0.6713338246131172,119.0,137.0,56.0,55.0,0.9821428571428571,322.61028618723924,56.55902132987766,79.11173584111403,71.12386279215845,34.17948717948718,95.0,27694.942380763216,15681.4,0.5662189068460468,120.0,29.0,0.5850540001,0.02017427586551724,20.0,31.0,64.07417739260995,2384,51.229026845637584,34.39177852348993,4.49244966442953,5.171979865771812,2.1140939597315436,2.0763422818791946,12.179079595994772,2.1351979528896767,2.986600765813868,2.6850451557442367,3.586409395973154,1045.5305428979402,591.9991610738256,4.530201342281879,1.0947986577181208,0.022086770138003354,0.7550335570469798,1.1703020134228188,Palermo,Left Back,Serie A,2015/2016
Adam Masina,1570.0,1161.0,0.7394904458598726,85.0,98.0,48.0,41.0,0.8541666666666666,369.95523120678416,84.27394135665472,91.59491468793584,64.71258990330135,32.475968992248056,85.0,29382.47945565586,16443.0,0.5596192120142833,93.0,13.0,1.573150089,0.12101154530769231,81.0,96.0,65.51756497834592,2746,51.45666423889294,38.0517115804807,2.7858703568827385,3.2119446467589223,1.57319737800437,1.3437727603787328,12.125262494031528,2.762073824507984,3.0020183255332213,2.1209515991613697,2.7858703568827385,963.0091591438556,538.918426802622,3.048069919883467,0.42607428987618357,0.05155990823379461,2.6547705753823743,3.14639475600874,Bologna,Left Back,Serie A,2015/2016
Adem Ljajić,906.0,749.0,0.826710816777042,52.0,149.0,90.0,81.0,0.9,216.9041828744041,68.90372178074219,62.20926581678026,52.828181147316954,49.41891891891892,58.0,14796.248412271956,4059.7000000000003,0.2743736038273661,132.0,39.0,3.0500474133,0.07820634393076924,143.0,2.0,50.919990072405454,1511,53.96426207809398,44.612839179351425,3.0972865651886172,8.874917273328922,5.360688285903375,4.824619457313038,12.919507914425129,4.104126380057443,3.70538313931848,3.146615687133373,3.4546657842488417,881.311950433141,241.80873593646592,7.862342819324951,2.3229649238914627,0.18167059377696892,8.517538054268696,0.11912640635340833,Inter Milan,Left Midfield,Serie A,2015/2016
Adriano Russo,229.0,175.0,0.7641921397379913,7.0,9.0,3.0,3.0,1.0,75.20114182584064,0.5728360119137802,9.626362772927443,1.6119200061566736,22.73359375,39.0,5374.265260732483,3015.8,0.5611557773367076,8.0,1.0,0.1262766,0.1262766,7.0,31.0,84.01086839095008,912,22.598684210526315,17.269736842105264,0.6907894736842105,0.888157894736842,0.29605263157894735,0.29605263157894735,7.421165311760589,0.05652986959675463,0.9499700104862608,0.15907105323914542,3.848684210526316,530.3551244143897,297.6118421052632,0.7894736842105263,0.09868421052631579,0.012461506578947366,0.6907894736842105,3.05921052631579,Frosinone,Right Center Back,Serie A,2015/2016
Afriyie Acquah,702.0,503.0,0.7165242165242165,62.0,164.0,69.0,63.0,0.9130434782608695,270.2258049130947,45.057179332973746,48.80087252513895,66.89946180213038,48.40526315789474,76.0,14447.124084720237,6895.0,0.4772576160879232,184.0,24.0,0.9222500709,0.0384270862875,41.0,26.0,60.48172295888621,1963,32.18543046357616,23.061640346408556,2.842587875700459,7.519103413143148,3.1635252165053487,2.888436067244014,12.389364463667102,2.0657901884705234,2.2374317510252193,3.067219338864867,3.48446255731024,662.3745122897715,316.1232806928171,8.436067244014264,1.1003565970453388,0.0422834979016811,1.879775853285787,1.1920529801324504,Torino,Right Center Midfield,Serie A,2015/2016
Albano Benjamín Bizzarri,1099.0,595.0,0.5414012738853503,28.0,58.0,25.0,25.0,1.0,5.2902327295168075,0.0,0.0,0.0,0.0,372.0,53809.980699379485,47725.0,0.8869172480589711,52.0,0.0,0.0,0.0,0.0,0.0,108.97723189030633,3271,30.23845918679303,16.37114032405992,0.7704066034851728,1.5958422500764293,0.687863038826047,0.687863038826047,0.14555822245689778,0.0,0.0,0.0,10.23540201773158,1480.5558737218446,1313.130541118924,1.430755120758178,0.0,0.0,0.0,0.0,Chievo,Goalkeeper,Serie A,2015/2016
Alberto Facundo Costa,932.0,727.0,0.7800429184549357,89.0,38.0,55.0,54.0,0.9818181818181818,305.37014118655804,45.67589602324092,77.13658581055557,56.05154959214549,42.38904109589041,140.0,21361.167237072583,9281.4,0.434498728322861,40.0,19.0,0.5768118412,0.030358517957894734,17.0,14.0,62.651455233062215,1255,66.83665338645419,52.135458167330675,6.382470119521912,2.7250996015936257,3.944223107569721,3.8725099601593627,21.899053949633647,3.2755622646148863,5.531707348964145,4.019633038480553,10.0398406374502,1531.876534929508,665.598406374502,2.8685258964143427,1.3625498007968129,0.041364992596015934,1.2191235059760956,1.00398406374502,Genoa,Left Defensive Midfield,Serie A,2015/2016
Alberto Gilardino,539.0,402.0,0.7458256029684601,22.0,10.0,204.0,195.0,0.9558823529411765,195.68896667843276,114.49584066886686,44.85605548691376,40.37635234304347,70.60055555555556,12.0,6312.666971312843,2040.8,0.3232864982857753,8.0,49.0,8.12197113,0.16575451285714288,453.0,101.0,40.1185625452745,2418,20.062034739454095,14.962779156327542,0.8188585607940447,0.37220843672456577,7.593052109181142,7.258064516129032,7.2837084371625105,4.26163178668239,1.669580229041455,1.5028418986244467,0.4466501240694789,234.96279049551524,75.96029776674938,0.2977667493796526,1.8238213399503722,0.30230661774193546,16.86104218362283,3.759305210918114,Palermo,Center Forward,Serie A,2015/2016
